Ativo,Valor_1,Valor_2,Valor_3,Valor_4,Valor_5,Valor_6,Valor_7,Valor_8,Valor_9,Valor_10,Valor_11,Valor_12,Valor_13,Valor_14,Valor_15,Valor_16,Valor_17,Valor_18,Valor_19,Valor_20,Valor_21,Valor_22,Valor_23
RANI3,22.84,80,5.77,1.32,242.48,13.16,-5.7029738388579,7.76,10.070809439333,29.778472156353,13.375677552932,72.366978774897,19.35,"1,86 Bilhão","322,58 Milhões","1,67 Bilhão",10.12,28.31,"667,14 Milhões",1.25,5.9774533223633,8.54,Materiais Básicos
MULT3,22.76,80,10.55,2.4,47.81,10.07,17.049183515033,26.57,14.034520775433,-47.179071225318,25.05332313287,-5.7082305876176,51.35,"13,79 Bilhões","1,31 Bilhão","2,55 Bilhões",18.68,6.29,"1,24 Bilhão",0.95,3.2556992859735,4.19,Financeiro
KLBN3,20.94,40,13.54,2.84,30.99,8.2,-4.5288994995645,3.96,3.2492587578667,-17.948011164982,3.0224162519415,-23.676357274205,9,"23,97 Bilhões","2,03 Bilhões","20,07 Bilhões",10.93,"6,47 Bilhões",4.19,4.1033336530227,5.89,Materiais Básicos,
KLBN4,20.94,50,13.1,2.74,32.32,7.58,-8.0265987553167,3.83,3.2492632912,-15.162838349869,3.0224162519415,-21.085737547219,9,"23,97 Bilhões","2,03 Bilhões","20,07 Bilhões",10.93,"6,47 Bilhões",4.19,4.2345497014732,6.07,Materiais Básicos,
KLBN11,20.94,50,13.2,2.77,31.84,7.82,-7.1974279796964,19.3,16.246362719333,-15.821954822109,15.142423848248,-21.541845345865,9,"23,97 Bilhões","2,03 Bilhões","20,07 Bilhões",10.93,"6,47 Bilhões",4.19,4.2142645005187,6.05,Materiais Básicos,
PORT3,20.81,90,13.35,2.78,3.15,18.294476183588,17.35,11.706675444444,-32.526366314444,13.509996299037,-22.132586172697,18.73,"7,63 Bilhões","577,96 Milhões","3,05 Bilhões",10.95,37.44,"587,60 Milhões",0.99,4.9373652770425,7.69,Bens Industriais,
ITUB3,20.77,100,8.75,1.82,190.08,18.17,41.702388005326,33.88,25.18282,-25.67054309327,40.298247480505,18.944059859814,11.84,"388,73 Bilhões","42,80 Bilhões","352,85 Bilhões",15.22,23.22,"38,89 Bilhões",5.4154514972093,7.72,Financeiro,
ITUB4,20.77,100,9.88,2.05,200.69,16.82,36.445185874275,38.26,25.42591,-33.544406691061,40.298247480505,5.3273588094746,11.84,"388,73 Bilhões","42,80 Bilhões","352,85 Bilhões",15.22,23.22,"38,89 Bilhões",4.8173577107677,6.86,Financeiro,
BPAC11,20.45,100,12.55,2.57,311.8,15.2,18.545103739288,40.01,9.9464935633333,-75.139981096393,33.451042584649,-16.393295214574,27.8,"201,18 Bilhões","12,23 Bilhões","43,98 Bilhões",27.22,30.1,"1,59 Bilhão",2.226423639627,2.11,Financeiro,
BPAC3,20.45,90,21.36,4.37,375.85,18.54,33.688071097508,22.7,3.3154921333333,-85.394307782673,11.136426715962,-50.940851471533,27.8,"201,18 Bilhões","12,23 Bilhões","43,98 Bilhões",27.22,30.1,"1,59 Bilhão",1.4179069090514,1.23,Financeiro,
BPAC5,20.45,90,8.11,1.66,241.36,12.68,2.9406426725435,8.62,3.3154964666667,-61.537163959783,11.136426715962,29.192885335986,27.8,"201,18 Bilhões","12,23 Bilhões","43,98 Bilhões",27.22,30.1,"1,59 Bilhão",2.9862945943587,3.36,Financeiro,
PSSA3,20.39,100,11.37,2.32,187.76,22.72,67.827398765481,49.7,30.170817766667,-39.294129242119,45.903210672022,-7.639415146837,7.79,"32,14 Bilhões","2,87 Bilhões","36,28 Bilhões",14.27,11.23,"9,93 Bilhões",0,6.1986929291475,4.43,Financeiro
LAVV3,20.37,90,6.33,1.29,17.63,38.605386410883,11.41,10.185764837733,-10.729493096117,18.921416437466,65.831870617581,22.48,"2,28 Bilhões","416,70 Milhões","1,60 Bilhão",34.78,28.52,"116,34 Milhões",0.4,10.137518900967,9,Consumo Cíclico,
ENGI11,20.36,90,5.98,1.22,40.49,12.39,4.7041497167198,47.81,35.966666666667,-24.77166562086,84.096373286843,75.897036784863,10.73,"23,89 Bilhões","4,53 Bilhões","34,15 Bilhões",10.93,23.01,"8,58 Bilhões",2.04,4.0115287396228,6.1,Utilidade Pública
